codigo,material,categoria
307,JUNTA GIBAULT A°C° Ø325mm CLASE 7,Juntas Gibault
308,JUNTA GIBAULT A°C° Ø325mm CLASE 10,Juntas Gibault
309,JUNTA GIBAULT A°C° Ø350mm CLASE 3,Juntas Gibault
310,JUNTA GIBAULT A°C° Ø350mm CLASE 5,Juntas Gibault
311,JUNTA GIBAULT A°C° Ø350mm CLASE 7,Juntas Gibault
312,JUNTA GIBAULT A°C° Ø350mm CLASE 10,Juntas Gibault
313,JUNTA GIBAULT A°C° Ø400mm CLASE 3,Juntas Gibault
314,JUNTA GIBAULT A°C° Ø400mm CLASE 5,Juntas Gibault
315,JUNTA GIBAULT A°C° Ø400mm CLASE 7,Juntas Gibault
316,JUNTA GIBAULT A°C° Ø400mm CLASE 10,Juntas Gibault
317,JUNTA GIBAULT A°C° Ø450mm CLASE 3,Juntas Gibault
318,JUNTA GIBAULT A°C° Ø450mm CLASE 5,Juntas Gibault
319,JUNTA GIBAULT A°C° Ø450mm CLASE 7,Juntas Gibault
320,JUNTA GIBAULT A°C° Ø450mm CLASE 10,Juntas Gibault
321,JUNTA GIBAULT A°C° Ø500mm CLASE 3,Juntas Gibault
322,JUNTA GIBAULT A°C° Ø500mm CLASE 5,Juntas Gibault
323,JUNTA GIBAULT A°C° Ø500mm CLASE 7,Juntas Gibault
324,JUNTA GIBAULT A°C° Ø500mm CLASE 10,Juntas Gibault
325,JUNTA GIBAULT A°C° Ø600mm CLASE 3,Juntas Gibault
326,JUNTA GIBAULT A°C° Ø600mm CLASE 5,Juntas Gibault
327,JUNTA GIBAULT A°C° Ø600mm CLASE 7,Juntas Gibault
328,JUNTA GIBAULT A°C° Ø600mm CLASE 10,Juntas Gibault
329,JUNTA GIBAULT A°C° Ø700mm CLASE 3,Juntas Gibault
330,JUNTA GIBAULT A°C° Ø700mm CLASE 5,Juntas Gibault
331,JUNTA GIBAULT A°C° Ø700mm CLASE 7,Juntas Gibault
332,JUNTA GIBAULT A°C° Ø700mm CLASE 10,Juntas Gibault
333,JUNTA GIBAULT A°C° Ø800mm CLASE 3,Juntas Gibault
334,JUNTA GIBAULT A°C° Ø800mm CLASE 5,Juntas Gibault
335,JUNTA GIBAULT A°C° Ø800mm CLASE 7,Juntas Gibault
336,JUNTA GIBAULT A°C° Ø800mm CLASE 10,Juntas Gibault
337,JUNTA GIBAULT A°C° Ø900mm CLASE 3,Juntas Gibault
338,JUNTA GIBAULT A°C° Ø900mm CLASE 5,Juntas Gibault
339,JUNTA GIBAULT A°C° Ø900mm CLASE 7,Juntas Gibault
340,JUNTA GIBAULT A°C° Ø900mm CLASE 10,Juntas Gibault
355,JUNTA GIBAULT PVC Ø50mm,Juntas Gibault
356,JUNTA GIBAULT PVC Ø 63mm,Juntas Gibault
357,JUNTA GIBAULT PVC Ø 75mm,Juntas Gibault
358,JUNTA GIBAULT PVC Ø90mm,Juntas Gibault
359,JUNTA GIBAULT PVC Ø 110mm,Juntas Gibault
360,JUNTA GIBAULT PVC Ø 250mm,Juntas Gibault
361,JUNTA GIBAULT PVC Ø110mm,Juntas Gibault
362,JUNTA GIBAULT PVC Ø 160mm,Juntas Gibault
363,JUNTA GIBAULT PVC Ø 200mm,Juntas Gibault
365,JUNTA GIBAULT PVC Ø 315mm,Juntas Gibault
366,JUNTA GIBAULT PVC Ø 355mm,Juntas Gibault
367,JUNTA GIBAULT PVC Ø 400mm,Juntas Gibault
368,JUNTA GIBAULT PVC Ø 450mm,Juntas Gibault
369,JUNTA GIBAULT PVC Ø 500mm,Juntas Gibault
381,SILLA ESTRIBO Ø50 C3,Estribos
382,SILLA ESTRIBO Ø50 C5,Estribos
383,SILLA ESTRIBO Ø50 C7,Estribos
384,SILLA ESTRIBO Ø60 C3,Estribos
385,SILLA ESTRIBO Ø60 C5,Estribos
386,SILLA ESTRIBO Ø60 C7,Estribos
387,SILLA ESTRIBO ØXX C3,Estribos
388,SILLA ESTRIBO ØXX C5,Estribos
389,SILLA ESTRIBO ØXX C7,Estribos
390,SILLA ESTRIBO Ø75 C3,Estribos
391,SILLA ESTRIBO Ø75 C5,Estribos
392,SILLA ESTRIBO Ø75 C7,Estribos
393,SILLA ESTRIBO Ø90 C3,Estribos
394,SILLA ESTRIBO Ø90 C5,Estribos
