codigo,material,categoria
1072,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 250 mm Salida: 2´' ,Juntamas
1073,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 315 mm Salida: 1/2´' ,Juntamas
1074,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 315 mm Salida: 3/4´' ,Juntamas
1075,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 315 mm Salida: 1´' ,Juntamas
1076,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 315 mm Salida: 2´' ,Juntamas
1077,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 355 mm Salida: 1/2´' ,Juntamas
1078,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 355 mm Salida: 3/4´' ,Juntamas
1079,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 355 mm Salida: 1´' ,Juntamas
1080,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 355 mm Salida: 2´' ,Juntamas
1085,JUNTAMAS TOMA DE AGUA C/ELÁSTOMERO COMPLETO Diam ext: 50 mm Salida: 1/2´' ,Juntamas
1086,JUNTAMAS TOMA DE AGUA C/ELÁSTOMERO COMPLETO Diam ext: 50 mm Salida: 3/4´' ,Juntamas
1087,JUNTAMAS TOMA DE AGUA C/ELÁSTOMERO COMPLETO Diam ext: 50 mm Salida: 1´' ,Juntamas
1088,JUNTAMAS TOMA DE AGUA C/ELÁSTOMERO COMPLETO Diam ext: 50 mm Salida: 1 1/2´' ,Juntamas
1089,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 63 mm Salida: 1/2´' ,Juntamas
1090,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 63 mm Salida: 3/4´' ,Juntamas
1091,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 63 mm Salida: 1´' ,Juntamas
1092,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 63 mm Salida: 2´' ,Juntamas
1093,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 75 mm Salida: 1/2´' ,Juntamas
1094,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 75 mm Salida: 3/4´' ,Juntamas
1095,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 75 mm Salida: 1´' ,Juntamas
1096,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 75 mm Salida: 2´' ,Juntamas
1097,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 75 mm Salida: 2 1/2´' ,Juntamas
1098,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 90 mm Salida: 1/2´' ,Juntamas
1099,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 90 mm Salida: 3/4´' ,Juntamas
1100,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 90 mm Salida: 1´' ,Juntamas
1101,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 90 mm Salida: 2´' ,Juntamas
1102,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 90 mm Salida: 2 1/2´' ,Juntamas
1103,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 110 mm Salida: 1/2´' ,Juntamas
1104,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 110 mm Salida: 3/4´' ,Juntamas
1105,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 110 mm Salida: 1´' ,Juntamas
1106,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 110 mm Salida: 2´' ,Juntamas
1107,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 110 mm Salida: 2 1/2´' ,Juntamas
1108,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 110 mm Salida: 3´' ,Juntamas
1109,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 125 mm Salida: 1/2´' ,Juntamas
1110,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 125 mm Salida: 3/4´' ,Juntamas
1111,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 125 mm Salida: 1´' ,Juntamas
1112,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 125 mm Salida: 2 1/2´' ,Juntamas
1113,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 125 mm Salida: 3´' ,Juntamas
1114,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 140 mm Salida: 1/2´' ,Juntamas
1115,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 140 mm Salida: 3/4´' ,Juntamas
1116,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 140 mm Salida: 1´' ,Juntamas
1117,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 140 mm Salida: 2´' ,Juntamas
1118,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 140 mm Salida: 2 1/2´' ,Juntamas
1119,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 140 mm Salida: 3´' ,Juntamas
1120,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 160 mm Salida: 1/2´' ,Juntamas
1121,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 160 mm Salida: 3/4´' ,Juntamas
1122,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 160 mm Salida: 1´' ,Juntamas
1123,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 160 mm Salida: 2´' ,Juntamas
1124,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 160 mm Salida: 2 1/2´' ,Juntamas
1125,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 160 mm Salida: 3´' ,Juntamas
1126,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 160 mm Salida: 4´' ,Juntamas
1127,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 200 mm Salida: 2 1/2´' ,Juntamas
1128,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 200 mm Salida: 3´' ,Juntamas
1129,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 200 mm Salida: 4´' ,Juntamas
1130,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 225 mm Salida: 1/2´' ,Juntamas
1131,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 225 mm Salida: 3/4´' ,Juntamas
1132,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 225 mm Salida: 1´' ,Juntamas
1133,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 225 mm Salida: 2´' ,Juntamas
1134,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 225 mm Salida: 2 1/2´' ,Juntamas
1135,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 225 mm Salida: 3´' ,Juntamas
1136,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 225 mm Salida: 4´' ,Juntamas
1137,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 250 mm Salida: 2 1/2´' ,Juntamas
1138,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 250 mm Salida: 3´' ,Juntamas
1139,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 250 mm Salida: 4´' ,Juntamas
1140,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 315 mm Salida: 2 1/2´' ,Juntamas
1141,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 315 mm Salida: 3´' ,Juntamas
1142,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 315 mm Salida: 4´' ,Juntamas
1143,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 355 mm Salida: 2 1/2´' ,Juntamas
1144,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 355 mm Salida: 3´' ,Juntamas
1145,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 355 mm Salida: 4´' ,Juntamas
1146,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 400 mm Salida: 2 1/2´' ,Juntamas
1147,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 400 mm Salida: 3´' ,Juntamas
1148,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 400 mm Salida: 4´' ,Juntamas
1149,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 450 mm Salida: 2 1/2´' ,Juntamas
1150,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 450 mm Salida: 3´' ,Juntamas
1151,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 450 mm Salida: 4´' ,Juntamas
1152,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 500 mm Salida: 2 1/2´' ,Juntamas
1153,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 500 mm Salida: 3´' ,Juntamas
1154,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 500 mm Salida: 4´' ,Juntamas
1155,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 630 mm Salida: 2 1/2´' ,Juntamas
1156,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 630 mm Salida: 3´' ,Juntamas
1157,JUNTAMAS TOMA DE AGUA C/C/ELÁSTOMERO COMPLETO Diam ext: 630 mm Salida: 4´' ,Juntamas
1164,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:68mm C3 Salida: 1/2''",Juntamas
1165,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:68mm C3 Salida: 3/4''",Juntamas
1166,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:68mm C3 Salida: 1''",Juntamas
1167,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:68mm C3 Salida: 2''",Juntamas
1168,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:74 a 79 mm C5-7 Salida: 1/2''",Juntamas
1169,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:74 a 79 mm C5-7 Salida: 3/4''",Juntamas
1170,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:74 a 79 mm C5-7 Salida: 1''",Juntamas
1171,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:74 a 79 mm C5-7 Salida: 2''",Juntamas
1172,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 50mm Dext:74 a 79 mm C5-7 Salida: 2 1/2''",Juntamas
1173,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm Dext:78mm C3 Salida: 1/2''",Juntamas
1174,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:78mm C3 Salida: 3/4''",Juntamas
1175,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:78mm C3 Salida: 1''",Juntamas
1176,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:78mm C3 Salida: 2''",Juntamas
1177,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:78mm C3 Salida: 2 1/2''",Juntamas
1178,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:74 a 79 mm C5-7-10 Salida: 1/2''",Juntamas
1179,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:74 a 79 mm C5-7-10 Salida: 3/4''",Juntamas
1180,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:74 a 79 mm C5-7-10 Salida: 1''",Juntamas
1181,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:74 a 79 mm C5-7-10 Salida: 2''",Juntamas
1182,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 60mm  Dext:74 a 79 mm C5-7-10 Salida: 2 1/2''",Juntamas
1183,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm Dext:93mm C3 Salida: 1/2''",Juntamas
1184,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 75mm Dext:93mm C3 Salida: 3/4''",Juntamas
1185,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm Dext:93mm C3 Salida: 1''",Juntamas
1186,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm Dext:93mm C3 Salida: 2''",Juntamas
1187,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm Dext:93mm C3 Salida: 2 1/2''",Juntamas
1188,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm  Dext:99 a 105 mm C5-7-10 Salida: 1/2''",Juntamas
1189,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm  Dext:99 a 105 mm C5-7-10 Salida: 3/4''",Juntamas
1190,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm  Dext:99 a 105 mm C5-7-10 Salida: 1''",Juntamas
1191,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm  Dext:99 a 105 mm C5-7-10 Salida: 2''",Juntamas
1192,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm  Dext:99 a 105 mm C5-7-10 Salida: 2 1/2''",Juntamas
1193,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 75mm  Dext:99 a 105 mm C5-7-10 Salida: 3''",Juntamas
1194,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm Dext:118mm C3 Salida: 1/2''",Juntamas
1195,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 100mm Dext:118mm C3 Salida: 3/4''",Juntamas
1196,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm Dext:118mm C3 Salida: 1''",Juntamas
1197,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm Dext:118mm C3 Salida: 2''",Juntamas
1198,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm Dext:118mmC3 Salida: 2 1/2''",Juntamas
1199,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm  Dext:131 a 137mm C5-7-10 Salida: 1/2''",Juntamas
1200,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm  Dext:131 a 137mm C5-7-10 Salida: 3/4''",Juntamas
1201,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm  Dext:131 a 137mm C5-7-10 Salida: 1''",Juntamas
1202,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm  Dext:131 a 137mm C5-7-10 Salida: 2 1/2''",Juntamas
1203,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 100mm  Dext:131 a 137mm C5-7-10 Salida: 3''",Juntamas
1204,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 125mm  Dext:149 a 153mm C5-7-10 Salida: 1/2''",Juntamas
1205,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 125mm  Dext:149 a 153mm  C5-7-10 Salida: 3/4''",Juntamas
1206,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 125mm  Dext:149 a 153mm  C5-7-10 Salida: 1''",Juntamas
1207,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 125mm  Dext:149 a 153mm  C5-7-10 Salida: 2''",Juntamas
1208,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 125mm  Dext:149 a 153mm  C5-7-10 Salida: 2 1/2''",Juntamas
1209,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 125mm  Dext:149 a 153mm  C5-7-10 Salida: 3''",Juntamas
1210,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 125mm  Dext:149 a 153mm  C5-7-10 Salida: 4''",Juntamas
1211,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 150mm  Dext:170 a 174mm  C3-5 Salida: 1''",Juntamas
1212,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 150mm  Dext:170 a 174mm  C3-5 Salida: 2''",Juntamas
1213,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 150mm  Dext:170 a 174mm  C7-10 Salida: 1''",Juntamas
1214,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 150mm  Dext:170 a 174mm  C7-10 Salida: 2''",Juntamas
1215,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 150mm  Dext:170 a 174mm  C7-10 Salida: 3''",Juntamas
1216,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 175mm  Dext:197 a 201mm  C3-5 Salida: 2 1/2''",Juntamas
1217,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 175mm  Dext:197 a 201mm  C3-5  Salida: 3''",Juntamas
1218,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 175mm  Dext:197 a 201mm  C3-5  Salida: 4''",Juntamas
1219,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 175mm  Dext:211 a 215mm  C7-10 Salida: 2 1/2''",Juntamas
1220,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 175mm  Dext:211 a 215mm  C7-10 Salida: 3''",Juntamas
1221,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 175mm  Dext:211 a 215mm  C7-10  Salida: 4''",Juntamas
1222,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 200mm  Dext:230 a 238mm  C5-7-10 Salida: 1''",Juntamas
1223,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 200mm  Dext:230 a 238mm  C5-7-10 Salida: 2''",Juntamas
1224,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 200mm  Dext:230 a 238mm  C5-7-10 Salida: 2 1/2''",Juntamas
1225,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 200mm  Dext:230 a 238mm  C5-7-10 Salida: 3''",Juntamas
1226,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 200mm  Dext:230 a 238mm  C5-7-10 Salida: 4''",Juntamas
1227,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 250mm  Dext:286 a 294mm  C5-7-10 Salida: 1''",Juntamas
1228,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 250mm  Dext:286 a 294mm C5-7-10 Salida: 2''",Juntamas
1229,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 250mm  Dext:286 a 294mm  C5-7-10 Salida: 2 1/2''",Juntamas
1230,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 250mm  Dext:286 a 294mm  C5-7-10 Salida: 3''",Juntamas
1231,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 250mm  Dext:286 a 294mm  C5-7-10 Salida: 4''",Juntamas
1232,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 300mm Dext:328mm C3 Salida: 2 1/2''",Juntamas
1233,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 300mm Dext:328mm  C3 Salida: 3''",Juntamas
1234,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO   ØDn: 300mm Dext:328mm  C3 Salida: 4''",Juntamas
1235,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 300mm  Dext:344 a 354mm  C5-7-10 Salida: 1''",Juntamas
1236,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 300mm  Dext:344 a 354mm C5-7-10 Salida: 2''",Juntamas
1237,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 300mm  Dext:344 a 354mm  C5-7-10 Salida: 2 1/2''",Juntamas
1238,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 300mm  Dext:344 a 354mm  C5-7-10 Salida: 3''",Juntamas
1239,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 300mm  Dext:344 a 354mm  C5-7-10 Salida: 4''",Juntamas
1240,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 350mm Dext:382mm C3 Salida: 2 1/2''",Juntamas
1241,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 350mm Dext:382mm  C3 Salida: 3''",Juntamas
1242,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 350mm Dext:382mm  C3 Salida: 4''",Juntamas
1243,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 350mm Dext:400 a 411mm C5-7-10 Salida: 2 1/2''",Juntamas
1244,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 350mm Dext:400 a 411mm C5-7-10 Salida: 3''",Juntamas
1245,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 350mm Dext:400 a 411mm C5-7-10 Salida: 4''",Juntamas
1246,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 400mm Dext:458 a 464mm C5-7 Salida: 2 1/2''",Juntamas
1247,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 400mm Dext:458 a 464mm C5-7  Salida: 3''",Juntamas
1248,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 400mm Dext:458 a 464mm C5-7  Salida: 4''",Juntamas
1249,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 400mm Dext:490mm C10 Salida: 2 1/2''",Juntamas
1250,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 400mm Dext:490mm C10  Salida: 3''",Juntamas
1251,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 400mm Dext:490mm C10  Salida: 4''",Juntamas
1252,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 450mm Dext:490mm C3 Salida: 2 1/2''",Juntamas
1253,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 450mm Dext:490mm C3  Salida: 3''",Juntamas
1254,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 450mm Dext:490mm C3  Salida: 4''",Juntamas
1255,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO  ØDn: 500mm Dext:572 a 584mm C5-7-10 Salida: 2 1/2''",Juntamas
1256,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 500mm Dext:572 a 584mm C5-7-10 Salida: 3''",Juntamas
1257,"JUNTAMAS TOMA DE AGUA P/ A°C°, FUNDICIÓN O ACERO ØDn: 500mm Dext:572 a 584mm C5-7-10 Salida: 4''",Juntamas
1271,MANGA PVC AZUL DE Ø 2“,Otros
1272,MANGA PVC AZUL DE Ø 3”,Otros
1273,MANGA PVC AZUL DE Ø 6“,Otros
1274,MANGA PVC AZUL DE Ø 8”,Otros
1288,MANGUERA TUBERÍA DE POLIETILENO DE ALTA DENSIDAD (PEAD) Ø 20mm,Otros
1289,MANGUERA TUBERÍA DE POLIETILENO DE ALTA DENSIDAD (PEAD) Ø 25mm,Otros
1290,MANGUERA TUBERÍA DE POLIETILENO DE ALTA DENSIDAD (PEAD) Ø32mm,Otros
1297,MANGUERA TUBERÍA DE POLIETILENO DE BAJA DENSIDAD (PEBD) Ø1/2 mm,Otros
1298,MANGUERA TUBERÍA DE POLIETILENO DE BAJA DENSIDAD (PEBD) Ø3/4”,Otros
